"site","zone","plot_id","year","density","germ","percent_mort","tot_prev","swe","htc","ti_area","stand_size","isl_density","zone_area","zone_density","recruit_decade","zone_age","zone_basal","zone_height"
"ti13","deflation",2178,2016,1,0,0,0,NA,NA,67,6,900,13,770,0.17,60,0.00332,2.3
"ti13","deflation",2179,2014,0,0,NA,NA,129.504933605977,0.849581685121143,67,6,900,13,770,0.17,60,0.00332,2.3
"ti13","deflation",2179,2015,0,0,0,0,89.3495816327104,1.99056234177636,67,6,900,13,770,0.17,60,0.00332,2.3
"ti13","deflation",2179,2016,1,0,0,0,NA,NA,67,6,900,13,770,0.17,60,0.00332,2.3
"ti13","deflation",2180,2014,1,0,NA,NA,129.504933605977,0.849581685121143,67,6,900,13,770,0.17,60,0.00332,2.3
"ti13","deflation",2180,2015,1,1,1,1,89.3495816327104,1.99056234177636,67,6,900,13,770,0.17,60,0.00332,2.3
"ti13","deflation",2180,2016,1,0,0,1,NA,NA,67,6,900,13,770,0.17,60,0.00332,2.3
"ti13","deflation",2181,2014,1,1,NA,NA,129.504933605977,0.849581685121143,67,6,900,13,770,0.17,60,0.00332,2.3
"ti13","deflation",2181,2015,0,0,1,1,89.3495816327104,1.99056234177636,67,6,900,13,770,0.17,60,0.00332,2.3
"ti13","deflation",2181,2016,0,0,0,0,NA,NA,67,6,900,13,770,0.17,60,0.00332,2.3
"ti13","deflation",2182,2014,0,0,NA,NA,129.504933605977,0.849581685121143,67,6,900,13,770,0.17,60,0.00332,2.3
"ti13","deflation",2182,2015,0,0,0,0,89.3495816327104,1.99056234177636,67,6,900,13,770,0.17,60,0.00332,2.3
"ti13","deflation",2182,2016,0,0,0,0,NA,NA,67,6,900,13,770,0.17,60,0.00332,2.3
"ti13","leeward",2168,2014,3,2,NA,NA,336.460663472002,0.363849593173184,67,6,900,34,880,0.21,108.333333333333,0.0075,2.8
"ti13","leeward",2168,2015,3,2,0.666666667,3,424.958741258865,0.363243280867085,67,6,900,34,880,0.21,108.333333333333,0.0075,2.8
"ti13","leeward",2168,2016,3,2,0.666666667,3,NA,NA,67,6,900,34,880,0.21,108.333333333333,0.0075,2.8
"ti13","leeward",2169,2014,0,0,NA,NA,336.460663472002,0.363849593173184,67,6,900,34,880,0.21,108.333333333333,0.0075,2.8
"ti13","leeward",2170,2014,2,0,NA,NA,336.460663472002,0.363849593173184,67,6,900,34,880,0.21,108.333333333333,0.0075,2.8
"ti13","leeward",2170,2015,2,0,0,2,424.958741258865,0.363243280867085,67,6,900,34,880,0.21,108.333333333333,0.0075,2.8
"ti13","leeward",2170,2016,3,0,0,2,NA,NA,67,6,900,34,880,0.21,108.333333333333,0.0075,2.8
"ti13","windward",2174,2014,0,0,NA,NA,62.0123846888311,0.820854532617945,67,6,900,13,770,0.12,78,0.00785,2.5
"ti13","windward",2174,2015,0,0,0,0,72.6741035776031,2.5391076781931,67,6,900,13,770,0.12,78,0.00785,2.5
"ti13","windward",2174,2016,0,0,0,0,NA,NA,67,6,900,13,770,0.12,78,0.00785,2.5
"ti13","windward",2175,2014,0,0,NA,NA,62.0123846888311,0.820854532617945,67,6,900,13,770,0.12,78,0.00785,2.5
"ti13","windward",2175,2015,0,0,0,0,72.6741035776031,2.5391076781931,67,6,900,13,770,0.12,78,0.00785,2.5
